Word,Translation,Part of Speech,Example Sentence,Example Translation
conspiracy,การกบฏ,n.,"""The conspiracy theory was widely debated.""","""ทฤษฎีสมคบคิดได้รับการถกเถียงกันอย่างกว้างขวาง"""
consult,ปรึกษา,v.,"""Let's consult with the experts before making a decision.""","""มาปรึกษาผู้เชี่ยวชาญก่อนตัดสินใจ"""
consultant,ที่ปรึกษา,n.,"""The consultant provided valuable insights.""","""ที่ปรึกษาให้ข้อมูลเชิงลึกที่มีคุณค่า"""
consumption,การบริโภค,n.,"""Excessive consumption of sugary drinks is unhealthy.""","""การบริโภคเครื่องดื่มที่มีน้ำตาลมากเกินไปนั้นไม่ดีต่อสุขภาพ"""
controversial,เป็นที่ถกเถียง,adj.,"""The controversial topic sparked a heated controversy.""","""หัวข้อการโต้เถียงทำให้เกิดความขัดแย้งอย่างดุเดือด"""
controversy,การโต้เถียง,n.,"""Online shopping offers convenience and variety.""","""การช้อปปิ้งออนไลน์มอบความสะดวกสบายและความหลากหลาย"""
convenience,ความสะดวก,n.,"""The convention attracted attendees from around the world.""","""การประชุมดังกล่าวดึงดูดผู้เข้าร่วมจากทั่วโลก"""
convention,การประชุม,n.,"""Traditional methods are often conventional.""","""วิธีการแบบเดิมๆ มักจะเป็นแบบเดิมๆ"""
conventional,ธรรมดา,adj.,"""She tried to convey her feelings through art.""","""เธอพยายามถ่ายทอดความรู้สึกของเธอผ่านงานศิลปะ"""
convey,ถ่ายทอด,v.,"""His convincing argument persuaded the audience.""","""ข้อโต้แย้งที่น่าเชื่อถือของเขาชักชวนผู้ชม"""
convincing,น่าเชื่อ,adj.,"""How do you cope with stress?""","""คุณรับมือกับความเครียดได้อย่างไร?"""
cope,รับมือ,v.,"""The corporation is a global leader in technology.""","""บริษัทเป็นผู้นำระดับโลกในด้านเทคโนโลยี"""
corporation,บริษัท,n.,"""The long corridor seemed endless.""","""ทางเดินยาวดูเหมือนไม่มีที่สิ้นสุด"""
corridor,ทางเดิน,n.,"""The counter is where you can place your order.""","""เคาน์เตอร์เป็นที่ที่คุณสามารถสั่งซื้อได้"""
counter,เคาน์เตอร์,(long flat surface) n.,"""The news coverage of the event was extensive.""","""การรายงานข่าวของงานมีอย่างกว้างขวาง"""
coverage,ความคุ้มครอง,n.,"""A crack appeared in the wall after the earthquake.""","""เกิดรอยแตกร้าวบนกำแพงหลังแผ่นดินไหว"""
crack,แตก,v./ n.,"""He excels in the craft of woodworking.""","""เขาเก่งในเรื่องงานไม้"""
craft,งานฝีมือ,n.,"""Creativity is essential in artistic endeavors.""","""ความคิดสร้างสรรค์ถือเป็นสิ่งสำคัญในความพยายามทางศิลปะ"""
creativity,ความคิดสร้างสรรค์,n.,"""We need to examine the situation critically.""","""เราจำเป็นต้องตรวจสอบสถานการณ์อย่างมีวิจารณญาณ"""
critically,วิกฤต,adv.,"""They enjoyed a relaxing cruise vacation.""","""พวกเขาสนุกกับการล่องเรือพักผ่อนในวันหยุด"""
cruise,ล่องเรือ,n./ v.,"""His raised eyebrow was a cue to start speaking.""","""คิ้วที่ยกขึ้นของเขาเป็นสัญญาณให้เริ่มพูด"""
cue,คิว,n.,"""She's always curious and eager to learn.""","""เธอมีความอยากรู้อยากเห็นและกระตือรือร้นที่จะเรียนรู้อยู่เสมอ"""
