Word,Translation,Part of Speech,Example Sentence,Translation
constitute,ประกอบด้วย,v.,These factors constitute a significant challenge.,ปัจจัยเหล่านี้ถือเป็นความท้าทายที่สำคัญ
constraint,ข้อ จำกัด,n.,There's a constraint on our budget this year.,งบประมาณของเราในปีนี้มีข้อจำกัด
consultation,การให้คำปรึกษา,n.,We need your input for the consultation.,เราต้องการข้อมูลของคุณสำหรับการให้คำปรึกษา
contemplate,ครุ่นคิด,v.,I need time to contemplate my options.,ฉันต้องการเวลาพิจารณาตัวเลือกของฉัน
contempt,ดูถูก,n.,Expressing contempt for others is not respectful.,การดูถูกผู้อื่นนั้นไม่เป็นการให้เกียรติ
contend,โต้แย้ง,v.,Two teams will contend in the finals.,สองทีมจะแข่งขันกันในรอบชิงชนะเลิศ
content,เนื้อหา,adj.,The content of the book was inspiring.,เนื้อหาของหนังสือเล่มนี้สร้างแรงบันดาลใจ
continually,อย่างต่อเนื่อง,adv.,We strive for improvement continually.,เรามุ่งมั่นในการปรับปรุงอย่างต่อเนื่อง
contractor,ผู้รับเหมา,n.,The contractor will renovate our kitchen.,ผู้รับเหมาจะปรับปรุงห้องครัวของเรา
contrary,ตรงกันข้าม,adj./ n.,His opinion is contrary to mine.,ความคิดเห็นของเขาตรงกันข้ามกับฉัน
contributor,ผู้ร่วมให้ข้อมูล,n.,She's a regular contributor to the magazine.,เธอเป็นผู้สนับสนุนนิตยสารเป็นประจำ
conversion,การแปลง,n.,The conversion of the file format was successful.,การแปลงรูปแบบไฟล์สำเร็จ
convict,นักโทษ,v.,"The jury found the defendant guilty, and he was convicted.",คณะลูกขุนพบว่าจำเลยมีความผิด และเขาถูกพิพากษาลงโทษ
conviction,ความเชื่อมั่น,n.,Her conviction in her beliefs is unwavering.,ความเชื่อมั่นของเธอในความเชื่อของเธอไม่เปลี่ยนแปลง
cooperate,ให้ความร่วมมือ,v.,We must cooperate to achieve our goals.,เราต้องร่วมมือกันเพื่อให้บรรลุเป้าหมายของเรา
coordinate,ประสานงาน,v.,Let's coordinate our efforts for maximum impact.,มาร่วมประสานความพยายามของเราเพื่อสร้างผลกระทบสูงสุด
